,Zusammenfassung,Min_Kompressionsrate,Max_Kompressionsrate,Endgueltige_Kompressionsrate,länge Zusammenfassung,länge Ausgangstext,text,text_rank_text,tokens_gesamt,token_text_rank,desired_compression_rate,text_rank_compression_rate,current_compression_rate,compression_difference,reduction_multiplier,ent_com_rate
39,A picture of Sushant Singh Rajput in a spacesuit at the National Aeronautics and Space Administration (NASA) has been shared on Twitter by producer Viki Rajani. The actor has started undergoing training for his role as an astronaut in the upcoming film 'Chanda Mama Door Ke',63,113,76.66666666666667,46,60,"A picture of Sushant Singh Rajput in a spacesuit at the National Aeronautics and Space Administration (NASA) has been shared on Twitter by producer Viki Rajani. The actor has started undergoing training for his role as an astronaut in the upcoming film 'Chanda Mama Door Ke'. Directed by Sanjay Puran Singh Chauhan, the film will release on January 26, 2018.","A picture of Sushant Singh Rajput in a spacesuit at the National Aeronautics and Space Administration (NASA) has been shared on Twitter by producer Viki Rajani. The actor has started undergoing training for his role as an astronaut in the upcoming film 'Chanda Mama Door Ke'. Directed by Sanjay Puran Singh Chauhan, the film will release on January 26, 2018.",60,60,0.71,1.0,1.0,-0.29000000000000004,0.71,0.7666666666666667
40,A Sri Lankan national was arrested for allegedly using a fake ticket to enter a terminal at the Delhi Airport.,25,75,83.33333333333334,20,24,"A Sri Lankan national was arrested for allegedly using a fake ticket to enter a terminal at the Delhi Airport on Monday, officials said. CISF personnel had found the accused, identified as Nuwan U Fernando, roaming suspiciously inside the terminal-III building. Fernando told officials he had used a cancelled ticket to enter the airport terminal to see off his mother. ","A Sri Lankan national was arrested for allegedly using a fake ticket to enter a terminal at the Delhi Airport on Monday, officials said.",61,24,0.29,0.4,0.39344262295081966,-0.10344262295081968,0.7370833333333333,0.32786885245901637
41,Two out of six women fell unconscious in the lift due to lack of oxygen. Some trapped people had reportedly contacted the elevator control room. Police were called when staff couldn't fix the technical glitch.,43,93,85.36585365853658,35,41,"Gurugram police on Saturday midnight rescued twenty people who were trapped in a mall lift for nearly 90 minutes. Police said that two out of six women fell unconscious in the lift due to lack of oxygen. Some trapped people had reportedly contacted the elevator control room, but the police were called when the staff couldn't fix the technical glitch.","Police said that two out of six women fell unconscious in the lift due to lack of oxygen. Some trapped people had reportedly contacted the elevator control room, but the police were called when the staff couldn't fix the technical glitch.",60,41,0.33,0.6833333333333333,0.6833333333333333,-0.35333333333333333,0.48292682926829267,0.5833333333333334
42,"Passengers and cabin crew got into an argument on Tuesday after a Delhi-Bengaluru SpiceJet flight was repeatedly delayed. The flight was scheduled to depart at 8:55 pm, while passengers were reportedly accommodated on a different aircraft.",43,93,87.8048780487805,36,41,"Passengers and cabin crew got into an argument on Tuesday after a Delhi-Bengaluru SpiceJet flight was repeatedly delayed. Passengers, including children, reportedly sat inside the aircraft for hours while no reason was given for the delay. The flight was scheduled to depart at 8:55 pm, while passengers were reportedly accommodated on a different aircraft that departed at 12:25 am. ","Passengers and cabin crew got into an argument on Tuesday after a Delhi-Bengaluru SpiceJet flight was repeatedly delayed. The flight was scheduled to depart at 8:55 pm, while passengers were reportedly accommodated on a different aircraft that departed at 12:25 am.",60,41,0.45,0.6949152542372882,0.6833333333333333,-0.23333333333333334,0.6585365853658537,0.6
43,"The Panchayat's initial direction was to compensate the girl's family with money, which the man refused, police added.",18,68,100.0,18,18,"A 25-year-old man from Jammu and Kashmir accused of rape committed suicide after the Panchayat directed him to drink urine of the victim. Police said he also recorded an audio clip before killing himself, wherein he claimed of never raping the girl. The Panchayat's initial direction was to compensate the girl's family with money, which the man refused, police added.","The Panchayat's initial direction was to compensate the girl's family with money, which the man refused, police added.",60,18,0.22,0.3,0.3,-0.07999999999999999,0.7333333333333334,0.3
44,Mumbai University results delayed due to new online assessment system. Maharashtra Chief Minister Devendra Fadnavis said the government will implement technological changes systematically and in phases to avoid similar problems.,44,94,71.42857142857143,30,42,"Maharashtra Chief Minister Devendra Fadnavis on Tuesday said that the newly adopted online assessment system delayed the declaration of Mumbai University results. He added that the government will implement technological changes systematically and in phases to avoid similar problems in the future. Notably, 14 lakh out of the 17.5 lakh answer sheets have been evaluated so far. ",Maharashtra Chief Minister Devendra Fadnavis on Tuesday said that the newly adopted online assessment system delayed the declaration of Mumbai University results. He added that the government will implement technological changes systematically and in phases to avoid similar problems in the future.,58,42,0.5,0.7368421052631579,0.7241379310344828,-0.22413793103448276,0.6904761904761905,0.5172413793103449
45,Shops at the domestic terminal of Delhi Airport have been relocated to provide additional space for seamless passenger movement. This comes after a draft report by the Public Accounts Committee said lesser space for passengers due to shops and restaurants could hamper passenger movement during a mishap.,58,108,83.92857142857143,47,56,"Shops at the domestic terminal of Delhi Airport have been relocated to provide additional space for seamless passenger movement, MoS for Civil Aviation Jayant Sinha said on Tuesday. This comes after a draft report by the Public Accounts Committee said lesser space for passengers due to shops and restaurants could hamper passenger movement during a mishap.","Shops at the domestic terminal of Delhi Airport have been relocated to provide additional space for seamless passenger movement, MoS for Civil Aviation Jayant Sinha said on Tuesday. This comes after a draft report by the Public Accounts Committee said lesser space for passengers due to shops and restaurants could hamper passenger movement during a mishap.",56,56,0.69,1.0,1.0,-0.31000000000000005,0.69,0.8392857142857143
46,The US Air Force is negotiating with Boeing to purchase two 747-8 jetliners once built for Russian airline Transaero. The jetliners will be used as the new Air Force One and its backup.,57,107,60.0,33,55,"The US Air Force is negotiating with Boeing to purchase two 747-8 jetliners once built for Russian airline Transaero, which went bankrupt before the planes were delivered. The jetliners will be used as the new Air Force One and its backup. Air Force One is the aircraft that carries the President of the United States. ","The US Air Force is negotiating with Boeing to purchase two 747-8 jetliners once built for Russian airline Transaero, which went bankrupt before the planes were delivered. The jetliners will be used as the new Air Force One and its backup. Air Force One is the aircraft that carries the President of the United States.",56,55,0.59,1.0,0.9821428571428571,-0.3921428571428571,0.6007272727272728,0.5892857142857143
47,Allahabad High Court to hear fresh appeals filed by Rajesh and Nupur Talwar. They are challenging their conviction in the murder of their daughter Aarushi and domestic help Hemraj.,33,83,90.625,29,32,"The Allahabad High Court on Tuesday said it would hear fresh appeals filed by Rajesh and Nupur Talwar challenging their conviction in the murder of their daughter Aarushi and domestic help, Hemraj. The court said it would hear the matter again due to ""contradictions"" in some submissions made by the CBI and fixed a hearing for August 31. ","The Allahabad High Court on Tuesday said it would hear fresh appeals filed by Rajesh and Nupur Talwar challenging their conviction in the murder of their daughter Aarushi and domestic help, Hemraj.",59,32,0.52,0.5517241379310345,0.5423728813559322,-0.022372881355932184,0.95875,0.4915254237288136
48,"13 people died while travelling in Mumbai's local trains on Sunday. Almost 1,600 people have been killed in trains in the past six months. 700 lost their lives by falling off the train,147 were killed while crossing railway tracks. 20 people died of electric shock.",63,113,75.0,45,60,"As many as 13 people died while travelling in Mumbai's local trains on Sunday, according to railway data. Almost 1,600 people have been killed while travelling in trains in the past six months, it added. Of the 1,600, 700 lost their lives by falling off the train,147 were killed while crossing railway tracks, and 20 people died of electric shock. ","As many as 13 people died while travelling in Mumbai's local trains on Sunday, according to railway data. Almost 1,600 people have been killed while travelling in trains in the past six months, it added. Of the 1,600, 700 lost their lives by falling off the train,147 were killed while crossing railway tracks, and 20 people died of electric shock.",61,60,0.71,1.0,0.9836065573770492,-0.2736065573770492,0.7218333333333333,0.7377049180327869
49,The lecture will focus on the corruption charges against UPA. It will also discuss Congress' achievements in 60 years.,19,69,100.0,19,19,"The Gujarat Congress MLAs staying in a Bengaluru resort are not allowed to go out, and 30 MLAs from Karnataka have been put in charge of the discipline. The party has planned seminars and programmes for their entertainment inside the resort. These include a lecture on the corruption charges against UPA, and Congress' achievements in 60 years, transparency and accountability.","These include a lecture on the corruption charges against UPA, and Congress' achievements in 60 years, transparency and accountability.",60,19,0.29,0.31666666666666665,0.31666666666666665,-0.026666666666666672,0.9157894736842105,0.31666666666666665
